condition_label,medical_abstract
cardiovascular diseases,"Coronary artery bypass grafting in a patient with cryoglobulinemia. Coronary artery bypass grafting (CABG) was performed in a patient with cryoglobulinemia. In order to decrease the concentration of cryoglobulin, the patient underwent double filtration plasmapheresis (DFPP) pre- and postoperatively as well as during cardiopulmonary bypass. Bypass surgery was performed under total cardiopulmonary bypass, moderate systemic hypothermia, and ventricular fibrillation without aortic crossclamping. No adverse effects of cryoglobulin appeared during the peri- and postoperative course. Technical considerations for open heart surgery in patients with cryoglobulinemia are described. "
cardiovascular diseases,"Conservative management of aortic lacerations due to blunt trauma. Three patients with angiographically documented thoracic aortic lacerations were managed conservatively over 8 years due to the nonthreatening appearance of the injuries in two and the presence of an associated major closed head injury in a third. The lesion(s) resolved in one, diminished in another, and remained unchanged in the third. At least ten other cases managed similarly are recorded in the literature. In certain selected circumstances this approach may represent a viable alternative to the current standard of immediate surgical correction of aortic injuries. "
cardiovascular diseases,"Sudden death from acute cocaine intoxication in Virginia in 1988. A review of medical examiners' autopsy records revealed that in 1988, 33 residents of Virginia died of acute cocaine intoxication. The subjects were 19 to 45 years old; most were men, used cocaine intravenously, and used other toxic substances with the lethal dose of cocaine. "
cardiovascular diseases,Catheterization of coronary artery bypass graft from the descending aorta. The increasing frequency of reoperation for coronary artery disease has led to the use of a variety of grafts. This report describes the catheter technique for selective opacification of a saphenous vein graft from the descending thoracic aorta to the posterior coronary circulation. 
cardiovascular diseases,"Spontaneous rupture of an aortic aneurysm into the left renal vein. A diagnostic challenge. Rupture of an aortic aneurysm into a renal vein presents a rare and difficult diagnostic problem. Often, therapy is delayed because the patient is thought to have a urologic problem. In this instance, CT scan provided useful clues leading to the diagnosis of this entity, and its rapid treatment. To our knowledge, this is the first CT scan done in a patient with aorto-renal vein fistula. "
cardiovascular diseases,"New horizons in the treatment of coronary artery thrombosis. The application of recombinant DNA methodology to clinical medicine offers the clinician a new generation of more potent and specific therapies. Recombinant methods offer great promise in the treatment of coronary artery thrombosis. This review focuses on the characterization of 1) molecules that activate plasminogen locally (in the vicinity of a thrombus) rather than systemically, and 2) molecules that offer new approaches to the inhibition of platelet activation and thrombin activity. We first describe the methods used to uncover these molecules and their characterization at the molecular level. The ways in which this knowledge can lead to the development of agents tailored to clinical needs are then explored. "
cardiovascular diseases,"Delayed rupture of a pseudoaneurysm of the costocervical trunk: treatment with therapeutic embolization. Fourteen days after removal of an internal jugular catheter inserted prior to renal transplantation, a patient presented with brisk arterial hemorrhage from the insertion site. The hemorrhage, caused by a ruptured pseudoaneurysm of the costocervical trunk, was controlled by transcatheter embolization with gelatin particles. One year later the patient reported no problems related to the pseudoaneurysm or its management. "
cardiovascular diseases,"Sudden death caused by coronary artery aneurysms: a late complication of Kawasaki disease. The authors describe three cases (two blacks and one Latin American) of sudden death caused by late complications of Kawasaki disease (mucocutaneous lymph node syndrome). At autopsy each heart contained multiple coronary artery aneurysms with luminal stenosis caused by intimal hyperplasia and thrombi. Although virtually all fatal cases of Kawasaki disease occur within six months of the onset of symptoms, there have been other reported deaths up to 14 years after the acute illness. The coronary artery aneurysms of Kawasaki disease may persist and cause death years after the acute illness. "
cardiovascular diseases,"Dilated cardiomyopathy associated with Chlamydia trachomatis infection. A 26-year-old man was admitted to hospital with acute myocarditis complicated by congestive heart failure, and atrial and ventricular arrhythmias. Detailed investigations to determine the aetiological factors involved yielded negative results, except for serological evidence of infection with Chlamydia trachomatis. During the follow-up period, dilated cardiomyopathy developed. To the best of our knowledge a similar case has not been reported previously. "
cardiovascular diseases,Right coronary artery injury during tricuspid valve annuloplasty. An unusual complication after tricuspid valve annuloplasty is described where a ring suture ligated right coronary artery and precipitated myocardial infarct and patient death. The need for caution to prevent this complication with such surgery is emphasized. 
cardiovascular diseases,"Occult inferior vena cava thrombosis: diagnosis by sonography--case reports. Ultrasound has become an effective tool for evaluating the inferior vena cava. The authors report 3 cases that illustrate the difficulty in diagnosing partially adherent clots, which may have a high propensity for pulmonary embolism. "
cardiovascular diseases,"Vasculitis as a paraneoplastic syndrome. Report of 11 cases and review of the literature. In a study of 222 patients with vasculitis, we identified 11 who had an associated neoplasia. Seven had hematological neoplasia and 4 had solid malignant tumors. In 4 patients vasculitis gave the first evidence of the neoplasia or of its recurrence. Nine of our patients had cutaneous vasculitis. The other 2 had vasculitis involving the intestine and resulted in acute abdomens. These 2 patients needed prednisone treatment for the vasculitis. Neoplasia should be considered in patients with vasculitis without an apparent cause. "
cardiovascular diseases,Temporal arteritis with normal erythrocyte sedimentation rates presenting as occipital neuralgia. A retrospective review of 46 patients with biopsy-proven giant cell (temporal) arteritis revealed 8 (17%) whose initial presentation was occipital pain. The most likely etiology of occipital pain in these patients was occipital artery inflammation. A Westergren erythrocyte sedimentation rate less than 40 mm/hour was noted at presentation in 6 of these 8 patients. Giant cell arteritis should be considered in the differential diagnosis of elderly patients who present with occipital pain and demonstrate a normal erythrocyte sedimentation rate. 
cardiovascular diseases,"The effect of lateral tilt on maternal and fetal hemodynamic variables. We measured maternal blood pressure and heart rate, fetal heart rate, and umbilical artery velocity waveforms in 25 healthy women placed in the supine and in both right and left 5 degrees and 10 degrees lateral tilt positions. Although we found no significant difference among these variables in the various maternal positions, two of 25 women became hypotensive and symptomatic in the supine and 5 degrees tilt positions. Because we could not predict which women would become symptomatic, we recommend lateral tilt of all pregnant women during operative procedures beyond 20 weeks' gestation, including those in the lithotomy position for vaginal delivery. "
cardiovascular diseases,"Hypertension and diabetes in blacks. This article summarizes the current state of knowledge on the interrelationship between non-insulin-dependent diabetes mellitus, obesity, insulin resistance, and hypertension in our attempt to explore the pathophysiology of the high incidence of diabetes and hypertension in the Black population in the United States. A central role for hyperinsulinemia is proposed, and questions are raised that are suitable for investigative clinical trials. "
cardiovascular diseases,"Auto-PEEP during CPR. An ""occult"" cause of electromechanical dissociation? A 64-year-old man with severe COPD developed refractory nonperfusing sinus rhythm after intubation and positive-pressure ventilation. Fifteen minutes after resuscitative efforts were halted, the patient was noted to have spontaneous respirations and blood pressure, suggesting that dynamic hyperinflation was responsible for the observed electromechanical dissociation (EMD). We recommend a brief trial of apnea for patients with COPD and EMD when conventional measures are unsuccessful. "
cardiovascular diseases,"A case report of giant cell arteritis of the uterus and adnexa. Giant cell arteritis of the uterus and adnexa is a rare disorder, which is generally asymptomatic and occasionally associated with temporal arteritis. The true clinical significance of this dramatic microscopic finding remains obscure, but arteritis of the uterus and adnexa may be associated with later development of giant cell arteritis elsewhere in the body. "
cardiovascular diseases,"Hormone replacement therapy. How to select the best preparation and regimen. Hormone replacement therapy is a mainstay of preventive healthcare for the maturing female population. Estrogen deficiency that comes with menopause can have serious effects and is especially important in light of the increasing life expectancy of women. Various estrogen and progesterone preparations are available, and their best application requires understanding of the different potencies and metabolic effects. Daily maintenance therapy without a drug-free interval is becoming the standard method of the 1990s. No doubt the future will bring even better delivery regimens. "
